column,result
ADJUSTED_GROSS_MARGIN_DOLLAR_AMT,16599990.40
ANNUALIZED_SALES_VOLUME_UNITS_CNT,99999999
BASE_COST_AMT,709.16
CASE_PACK_CNT,720
CORPORATE_PRICE_GROUP_ID,45286
EBITDA_AMT,3182435.06
FACINGS_QTY,37020
GROSS_COST_TO_ILW_AMT,261241904.00
GROSS_MARGIN_DOLLAR_AMT,17704084.76
ILW_GROUP_ID,1161
ILW_ILW_ID,9322
ILW_PROMO_GROUP_ID,77581
ILW_VENDOR_ID,3061
INITIAL_BASE_COST_AMT,709.16
INITIAL_LIST_COST_PER_UNIT_AMT,709.16
LINEAR_FEET_QTY,139659.80
LIST_COST_PER_CASE_AMT,9423.36
LIST_COST_PER_UNIT_AMT,709.16
NET_ACCRUAL_RATE_PCT,100.00
NET_COST_TO_ILW_AMT,208288049.06
PROMOTIONAL_ACTIVITY_WEEKS_CNT,148
REGULAR_RETAIL_AMT,243.89
SALES_AMT,211275434.56
SALES_PLANNING_GROUP_ID,11423
SALES_VOLUME_CASES_CNT,15477093
SALES_VOLUME_UNITS_CNT,71902594
SQUARE_FEET_QTY,99952.42
STORE_OPERATIONS_COST_AMT,832426167.57
TERMS_PCT_OFF_PER_UNIT,109.00
TRANSPORTATION_COST_AMT,7836722.46
WAREHOUSING_COST_AMT,26092208.15
YEAR_PERIOD_INTRODUCED_NO,42849
